InputID,TargetID,Distance
client_10000008,service_10000013,1672.86650217
client_10000008,service_10000014,1785.85888928
client_10000008,service_10000008,1909.87052562
client_10000008,service_10000002,2078.84833157
client_10000008,service_10000003,2459.24037289
client_10000009,service_10000014,189.753580528
client_10000009,service_10000013,315.072768855
client_10000009,service_10000012,706.275348736
client_10000009,service_10000003,1027.80252824
client_10000009,service_10000002,1267.769805
client_10000009,service_10000008,1369.6205923
client_10000009,service_10000009,1396.5273253
client_10000009,service_10000004,1776.18922748
client_10000009,service_10000011,1914.20930544
client_10000009,service_10000006,1934.89970118
client_10000009,service_10000010,2172.0020505
client_10000009,service_10000005,2343.9828986
client_10000009,service_10000007,2458.24491975
client_10000009,service_10000001,2826.08296596
client_10000009,service_10000000,2956.35235426
client_10000010,service_10000002,134.206288987
client_10000010,service_10000008,195.20328737
client_10000010,service_10000003,735.534375823
client_10000010,service_10000012,912.801122826
client_10000010,service_10000013,1267.18184703
client_10000010,service_10000014,1342.5216418
client_10000010,service_10000009,1486.75776111
client_10000010,service_10000010,1550.55685794
client_10000010,service_10000011,1627.24674719
client_10000010,service_10000006,1801.03944884
client_10000010,service_10000004,2008.87517803
client_10000010,service_10000007,2561.90536294
client_10000010,service_10000001,2646.7000735
client_10000010,service_10000005,2652.72209051
client_10000010,service_10000000,3011.02698135
client_10000011,service_10000012,267.137646276
client_10000011,service_10000008,652.914414983
client_10000011,service_10000013,702.061719213
client_10000011,service_10000002,737.495776234
client_10000011,service_10000009,742.39627534
client_10000011,service_10000014,825.733165272
client_10000011,service_10000003,1072.16949225
client_10000011,service_10000011,1079.26502644
client_10000011,service_10000006,1182.75779152
client_10000011,service_10000010,1233.09662163
client_10000011,service_10000004,1263.52179214
client_10000011,service_10000007,1883.61136595
client_10000011,service_10000005,1913.1263321
client_10000011,service_10000001,2094.19560075
client_10000011,service_10000000,2365.46762927
client_10000012,service_10000013,273.583570859
client_10000012,service_10000012,299.757584914
client_10000012,service_10000014,342.336529772
client_10000012,service_10000003,832.029274843
client_10000012,service_10000002,879.528785072
client_10000012,service_10000008,948.224150325
client_10000012,service_10000009,1118.13442903
client_10000012,service_10000011,1576.57411549
